mU	mW	eP	robustness	minRange	maxRange	min(CoRa)	optimalRho	negative_sol	oscilations	other_errors	steady_state	0.001	0.0016102620275609393	0.002592943797404667	0.0041753189365604	0.006723357536499335	0.010826367338740546	0.017433288221999882	0.02807216203941177	0.04520353656360243	0.0727895384398315	0.11721022975334802	0.18873918221350972	0.30391953823131973	0.48939009184774934	0.7880462815669912	1.2689610031679222	2.043359717856942	3.2903445623126686	5.298316906283709	8.531678524172808	13.73823795883263	22.122162910704493	35.62247890262442	57.36152510448679	92.36708571873861	148.73521072935117	239.5026619987486	385.6620421163472	621.0169418915616	1000.0
1.0	1.0	1.0	0.13333333333333333	0.001	0.0041753189365604	0.003916770014821616	0.001	0.0	0.0	0.0	1.0102420819591318	0.003916770014821616	0.0071576820220452565	0.01432620978477035	0.03387298443558292	0.11087550538043861	0.49875535379093977	0.8868213251352735	0.9645789396586256	0.9846990138627091	0.9922384881770876	0.9957151163223757	0.9975195168460114	0.9985237920897192	0.9991068258512851	0.9994541455597599	0.9996643546169163	0.9997928316936261	0.999871832493539	0.9999205929962613	0.9999507588994099	0.9999694481604409	0.9999810374685801	0.9999882280623376	0.9999926910138601	0.9999954616075121	0.9999971818172606	0.9999982499517345	0.999998913225457	0.9999993251081213	0.9999995808859304
31.6228	0.0316	0.0316	0.0	NaN	NaN	0.9870137794435545	0.001	0.0	0.0	0.0	NaN	0.9870137794435545	0.9918735299755529	0.9949290939505605	0.9968414401574639	0.9980348162422635	0.9987781686372317	0.99924067342221	0.9995282334281765	0.9997069431648089	0.9998179751738095	0.9998869473205322	0.999929787672832	0.999956395143238	0.9999729199463019	0.9999831825583076	0.9999895559798316	0.9999935140464354	0.9999959720974894	0.9999974985983378	0.9999984465848873	0.9999990353020116	0.9999994009058681	0.9999996279522554	0.999999768951999	0.9999998565152539	0.9999999108935411	0.9999999446633738	0.9999999656350207	0.9999999786587678	0.9999999867467302
0.0316	31.6228	31.6228	0.6666666666666666	0.001	8.531678524172808	1.2904883834294631e-5	0.0727895384398315	1.0	0.0	0.0	1000.9660210307596	0.00039647146610748894	0.00024635237737595327	0.000153164158831096	9.538221988742802e-5	5.9653711619483764e-5	3.771995071924961e-5	2.4510831306940614e-5	1.6974877937877918e-5	1.337698059849238e-5	1.2904883834294631e-5	1.550141409833971e-5	2.1904919282571875e-5	3.396686187762498e-5	5.549543086782939e-5	9.43755522462995e-5	0.00016841892064474478	0.0003245222741036997	0.0007206755929587656	0.002189020645298946	0.01952541554596094	NaN	0.9976949539632051	0.999230198875955	0.9996482964038497	0.9998156269424107	0.9998962364545491	0.9999392404926791	0.9999635892925756	0.9999778766624604	0.9999864444489784
0.1778	0.1778	5.6234	0.16666666666666666	0.001	0.006723357536499335	0.0007714218785667806	0.001	0.0	0.0	0.0	1.0034151289560524	0.0007714218785667806	0.0013378419209417432	0.0026661943818948766	0.006577219423030295	0.026590291200838806	0.49076602102095485	0.9723460376979651	0.9930810681312557	0.9971674381660222	0.998591376082214	0.9992294034745951	0.9995560151766422	0.9997364675554148	0.999840794763363	0.9999027921169193	0.9999402600001572	0.9999631395123745	0.9999772004945021	0.9999858762317897	0.9999912424010974	0.9999945665796477	0.9999966277558643	0.9999979065507806	0.9999987002299777	0.9999991929354651	0.9999994988434635	0.9999996887903576	0.9999998067401067	0.9999998799848687	0.9999999254695473
177.8279	177.8279	0.0056	0.0	NaN	NaN	0.24428951193861267	0.001	0.0	0.0	0.0	NaN	0.24428951193861267	0.29969133542529586	0.35429730335169424	0.4067003011610127	0.45672238495451123	0.5050464847631917	0.5527783612328497	0.6010601232497795	0.6507241239654871	0.7019465080624855	0.7539275539676461	0.8047667517162923	0.8517908910999	0.8923987138805848	0.9250092461522421	0.9494870174190009	0.9668531351212993	0.9786538728750022	0.986429172582183	0.9914455074239455	0.9946372301520051	0.9966498903033464	0.99791182787787	0.998700220604766	0.9991916572033651	0.9994975577210203	0.9996878018805245	0.9998060529084319	0.9998795298030085	0.9999251760252295
5.6234	0.0056	177.8279	0.0	NaN	NaN	0.9999976013752891	0.001	0.0	0.0	0.0	NaN	0.9999976013752891	0.9999985226876071	0.9999990872503384	0.9999994349631394	0.9999996497925779	0.9999997827807422	0.9999998652053934	0.9999999163296551	0.9999999480544843	0.9999999677468114	0.99999997997248	0.9999999875634374	0.9999999922770199	0.9999999952040225	0.999999997021675	0.9999999981504298	0.9999999988513897	0.9999999992866961	0.9999999995570262	0.9999999997249065	0.9999999998291637	0.9999999998939137	0.9999999999341186	0.9999999999590842	0.999999999974588	0.9999999999842188	0.9999999999902045	0.9999999999939103	0.9999999999962205	0.9999999999976508
0.0056	5.6234	0.1778	0.6	0.001	3.2903445623126686	0.0004006344500383561	0.010826367338740546	0.0	0.0	0.0	1013.9075910598294	0.0022504457348195826	0.0014164423650656981	0.0009086001000145329	0.0006103562102002937	0.00045309554802721187	0.0004006344500383561	0.00044103538237552463	0.000584037888241694	0.0008637004229741991	0.0013472500805840543	0.0021531601420737485	0.003485200335273094	0.005697211813656473	0.009422388229897357	0.01584966226194817	0.027363109920403837	0.049136798181390676	0.09325163524391641	0.1876766732872819	0.37534940228693414	0.6260256986088816	0.8093223689627229	0.9024905108473816	0.9473263991462453	0.9701351813559658	0.982491811472161	0.9895122136416119	0.9936316378782192	0.996100039249883	0.997599010371134
0.0133	0.075	421.6965	0.3	0.001	0.04520353656360243	0.0001017661466927145	0.017433288221999882	0.0	0.0	0.0	5.637851465509179	0.0009426013264586838	0.0005869788312035754	0.0003669631412518143	0.0002320165833462238	0.00015156190049844817	0.00010891537283923684	0.0001017661466927145	0.00017135711818910352	0.0009970542192463603	0.9968902032125823	0.9997898881753782	0.999934879252506	0.9999710668688672	0.9999850345305533	0.9999916381530086	0.9999951238079239	0.9999970850041096	0.9999982314296486	0.9999989173189708	0.9999993335611143	0.99999958839054	0.9999997452495111	0.9999998421282317	0.9999999020869001	0.9999999392435653	0.9999999622882111	0.9999999765876543	0.9999999854633536	0.9999999909735886	0.9999999943948702
13.3352	74.9894	0.4217	0.26666666666666666	0.001	0.02807216203941177	0.0013923060663439896	0.001	0.0	0.0	0.0	5.717777757219796	0.0013923060663439896	0.002286050866222896	0.003800892671482163	0.006447985263949724	0.011304408287525613	0.02092754520458916	0.042430537496577686	0.09972166987663846	0.2778383257744557	0.6434172030499142	0.870774688093955	0.9459734378896324	0.9735684783696962	0.9857582400990297	0.9918800593101708	0.9952128297583205	0.9971203154875624	0.9982464180085792	0.9989241185181601	0.9993368546470127	0.9995900864601279	0.9997461700403768	0.9998426492182322	0.9999023910157808	0.9999394249678057	0.999962397987677	0.9999766547230189	0.999985504581647	0.9999909990227975	0.9999944105966595
421.6965	0.0024	13.3352	0.0	NaN	NaN	0.9999998211089596	0.001	0.0	0.0	0.0	NaN	0.9999998211089596	0.9999998889108198	0.9999999310137372	0.99999995715913	0.9999999733953885	0.9999999834782024	0.9999999897397311	0.9999999936282153	0.999999996043021	0.999999997542653	0.9999999984739417	0.9999999990522931	0.9999999994114589	0.9999999996345104	0.9999999997730258	0.99999999985904	0.9999999999124602	0.9999999999456436	0.9999999999662401	0.9999999999790393	0.9999999999869885	0.9999999999919121	0.9999999999949724	0.9999999999968878	0.9999999999980625	0.9999999999987909	0.9999999999992503	0.9999999999995406	0.9999999999997096	0.9999999999998137
