mU	mW	eP	robustness	minRange	maxRange	min(CoRa)	optimalRho	negative_sol	oscilations	other_errors	steady_state	0.001	0.0016102620275609393	0.002592943797404667	0.0041753189365604	0.006723357536499335	0.010826367338740546	0.017433288221999882	0.02807216203941177	0.04520353656360243	0.0727895384398315	0.11721022975334802	0.18873918221350972	0.30391953823131973	0.48939009184774934	0.7880462815669912	1.2689610031679222	2.043359717856942	3.2903445623126686	5.298316906283709	8.531678524172808	13.73823795883263	22.122162910704493	35.62247890262442	57.36152510448679	92.36708571873861	148.73521072935117	239.5026619987486	385.6620421163472	621.0169418915616	1000.0
1.0	1.0	1.0	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.43083516489769125	0.44529523509900354	0.4567914409029158	0.4659010458431371	0.4731045418723713	0.4787933902505358	0.4832824422659205	0.4868229578470386	0.48961448888245185	0.4918150520540463	0.4935495452401184	0.49491657700444847	0.49599394538056946	0.4968430029517317	0.49751212006200907	0.4980394254274959	0.4984549714766525	0.4987824434920091	0.4990405078433898	0.4992438751223022	0.49940413826670293	0.49953043320271484	0.49962995954003764	0.4997083909428709	0.49977019854066346	0.4998189058001486	0.4998572893812641	0.49988753742310726	0.49991137428192123	0.49993015883095476
31.6228	0.0316	0.0316	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.4996469599599905	0.49972176741088925	0.4997807269973301	0.4998271947525943	0.49986381651803896	0.49989267804083787	0.4999154234215174	0.49993334855738897	0.4999474748430556	0.49995860728872166	0.499967380344236	0.4999742940254868	0.4999797423930288	0.499984036000257	0.49998741958719956	0.49999008602628614	0.4999921873136249	0.49999384323145957	0.4999951481751753	0.4999961765336011	0.4999969869291061	0.4999976255591889	0.4999981288298226	0.49999852543072243	0.4999988379708098	0.49999908426699957	0.499999278359879	0.4999994313141019	0.4999995518491488	0.4999996468363549
0.0316	31.6228	31.6228	0.43333333333333335	0.001	0.30391953823131973	0.0006515587555146696	0.001	0.0	0.0	0.0	0.409228779753025	0.0006515587555146696	0.0008041965124463424	0.0011418632745277746	0.0017411658895408726	0.002736856902217375	0.004349340075322523	0.006926430525122701	0.011001039289158372	0.017359839856506146	0.027100199468135	0.0416177095719467	0.062422584343410865	0.09068330389221052	0.12654525397012634	0.16858618692101346	0.21392966035316316	0.25912628665709564	0.3012372527675214	0.33845302485578704	0.3700976488940772	0.3962957413037836	0.4176017099774364	0.43472952114832675	0.4483969146883476	0.45925204029016314	0.46784822635448226	0.47464303531352403	0.4800077910705317	0.4842404382374296	0.4875783969669491
0.1778	0.1778	5.6234	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.34281422756381297	0.373735017714596	0.3992682458602657	0.4199986151502033	0.43664575483918955	0.44992055701131095	0.4604593952412338	0.46880291741827246	0.4753969421886806	0.48060265642142397	0.48470957772167955	0.48794826943263575	0.49050161191888675	0.49251430590127804	0.49410066819119824	0.49535092604176295	0.4963362515586494	0.4971127654529941	0.49772471003993723	0.4982069584695236	0.4985869964110984	0.49888648582140593	0.499122498300408	0.4993084875414298	0.49945505591660105	0.4995705587049009	0.4996615803122045	0.4997333095849202	0.4997898355892178	0.49983438070610814
177.8279	177.8279	0.0056	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.4947738751780591	0.4958814827194641	0.4967543737074851	0.4974422744037772	0.4979843829676418	0.4984115950488825	0.49874826064867345	0.4990135700751388	0.49922264686088236	0.49938740938713183	0.49951725005749165	0.49961957060430556	0.49970020397695336	0.4997637468306287	0.49981382155298637	0.4998532827586093	0.4998843800187028	0.4999088861009492	0.49992819802909233	0.49994341672290504	0.499955409758349	0.4999648608255579	0.4999723087040609	0.49997817797709504	0.4999828032359225	0.49998644815397286	0.4999893205181113	0.4999915840739944	0.4999933678608006	0.49999477356736566
5.6234	0.0056	177.8279	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.47066098470801976	0.47686426092423756	0.4817604828900031	0.4856227407191164	0.48866824847984647	0.4910691676179523	0.49296165393008723	0.49445324233451315	0.4956287920366884	0.4965552332934252	0.49728533836201894	0.497860708034733	0.4983141324508196	0.49867145509894634	0.4989530434911756	0.49917494898264664	0.49934982118631693	0.499487628782337	0.4995962276514353	0.4996818086408438	0.4997492504497192	0.49980239773143587	0.49984428025717415	0.4998772856301848	0.49990329539405004	0.49992379229307526	0.499939944798887	0.4999526737214679	0.4999627047018224	0.4999706095787352
0.0056	5.6234	0.1778	0.06666666666666667	0.001	0.0016102620275609393	0.060656949906928964	0.001	0.0	0.0	0.0	0.43473368574876503	0.060656949906928964	0.08736858718592516	0.12194485276097636	0.1631071328983787	0.20808675361252377	0.2534146170335616	0.29601621332295064	0.3339096676136678	0.3662776614735332	0.3931573949989272	0.4150621304190221	0.4326943907356637	0.4467761027750683	0.4579662381713293	0.46683069740425664	0.47383905021847045	0.4793731509472763	0.48373977935240536	0.4871835859091132	0.48989879108880857	0.49203914967102746	0.49372617122853835	0.4950557795881057	0.49610364992507056	0.49692945839937686	0.4975802525320978	0.4980931177479542	0.498497283898112	0.4988157878318922	0.49906678482344985
0.0133	0.075	421.6965	0.23333333333333334	0.001	0.017433288221999882	0.005889453001837338	0.001	0.0	0.0	0.0	0.0023255082342475563	0.005889453001837338	0.008821154606476922	0.013637508355474776	0.021224134762506886	0.03279719151901883	0.049826883365314406	0.07374133955782164	0.1053489998288472	0.14415214012867894	0.18803201445624196	0.23372447638035598	0.27788388666587355	0.318023574977792	0.35285230768799397	0.38208907251613716	0.4060855449031362	0.42549114751010747	0.4410348613461201	0.45340975924931093	0.4632241569461532	0.47098916740580204	0.4771235167737981	0.4819651135953932	0.485784167678249	0.48879554862316227	0.4911695327650136	0.49304077139352676	0.4945156042012714	0.49567794360086853	0.49659397121175336
13.3352	74.9894	0.4217	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.39484518328560547	0.4164295738581926	0.4337911209530387	0.44765005783961376	0.45865983287900713	0.4673797370215881	0.47427295642111383	0.4797157154119419	0.48401005476466963	0.4873967388814197	0.4900668500504945	0.4921716321116408	0.49383059690224	0.4951380843770543	0.49616851670987927	0.4969805801743799	0.49762054094942576	0.49812486807049505	0.49852230530175845	0.49883550625080975	0.49908232408189257	0.49927682843981724	0.49943010711292113	0.4995508979174783	0.49964608671887284	0.49972109992779484	0.4997802138218903	0.4998267983130609	0.49986350905141463	0.499892438813908
421.6965	0.0024	13.3352	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.4993934128204683	0.4995219795430885	0.49962329672783556	0.4997031397572639	0.49976606000278484	0.49981564421701863	0.4998547189639388	0.4998855117291008	0.4999097778877911	0.49992890076527785	0.49994397049097944	0.49995584614045374	0.4999652047069201	0.4999725796935552	0.49997839152630813	0.4999829715206849	0.49998658076897634	0.4999894250241365	0.49999166642912596	0.49999343276016994	0.4999948247108985	0.4999959216325593	0.4999967860576335	0.49999746726463357	0.4999980040872839	0.49999842712839143	0.4999987605043761	0.4999990232200831	0.4999992302522176	0.4999993934031212
